direccion;estado;api;propiedad;entramado;num_afiliadas;num_preafiliadas;num_inq_colaboradoras
Calle Juan Gris, 4, 28850, Torrejón de Ardoz, Espanya;;;FIDERE VIVIENDA SL;Blackstone;47;0;0
Calle Martín Muñoz de las Posadas, 7, 28031, Madrid, Espanya;;NESTAR RESIDENCIAL SII SA.;NESTAR RESIDENCIAL SII SA.;;21;0;0
Calle Francisco Salzillo, 7, 28850, Torrejón de Ardoz, Espanya;;;FIDERE VIVIENDA SL;Blackstone;21;0;0
Calle Martín Muñoz de las Posadas, 7, 28031, Madrid, Espanya;;NESTAR RESIDENCIAL SII SA.;NESTAR RESIDENCIAL SII SA.;;20;0;0
Calle de Honrubia, 9, 28031, Madrid, Espanya;;;FIDERE VIVIENDA SL;Blackstone;17;0;0
Calle de Berrocal, 56, 28021, Madrid, Espanya;;NESTAR RESIDENCIAL SII SA.;NESTAR RESIDENCIAL SII SA.;;17;0;0
Calle Corral de Almaguer, 12, 28051, Madrid, Espanya;;NESTAR RESIDENCIAL SII SA.;NESTAR RESIDENCIAL SII SA.;;17;0;0
Calle del Planeta Urano, 90, 28983, Parla, Espanya;;NESTAR RESIDENCIAL SII SA.;NESTAR RESIDENCIAL SII SA.;;17;0;0
Avenida Joan Miró, 7, Torrejón de Ardoz, España;;;FIDERE VIVIENDA SL;Blackstone;13;0;0
Paseo de las Artes, 28, Pinto, España;;NESTAR RESIDENCIAL SII SA.;NESTAR RESIDENCIAL SII SA.;;13;0;0
Avenida de la Segunda República, 15, 28905, Getafe, Espanya;;;FIDERE VIVIENDA SL (agrupació);Blackstone;12;0;0
Calle Tomás Bretón, 2, 28320, Pinto, Espanya;;;INMO CRITERIA CAIXA SA.;Caixabank;11;0;0
Avenida de Castilla y León, 11, 28760, Tres Cantos, Espanya;;;FIDERE VIVIENDA SL;Blackstone;11;0;0
Calle Benjamín Palencia, 2, 28850, Torrejón de Ardoz, Espanya;;FIDERE VIVIENDA SL;FIDERE VIVIENDA SL;Blackstone;10;0;0
Paseo de la Democracia, 10, 28850, Torrejón de Ardoz, Espanya;;;FIDERE VIVIENDA SL;Blackstone;10;0;0
Calle de Galileo, 22, Madrid, España;;;ELIX RENTAL HOUSING SOCIMI II SA;Elix;10;0;0
Calle de Santa Ana, 8, 28005, Madrid, Espanya;;;;;9;0;0
