Table Name,Column Name,Data Type,Constraints,Foreign Key Reference
entramado_empresas,id,SERIAL,"PRIMARY KEY",""
entramado_empresas,nombre,TEXT,"",""
entramado_empresas,descripcion,TEXT,"",""
empresas,id,SERIAL,"PRIMARY KEY",""
empresas,entramado_id,TEXT,"",""
empresas,nombre,TEXT,"",""
empresas,cif_nif_nie,TEXT,"",""
empresas,directivos,TEXT,"",""
empresas,api,TEXT,"",""
empresas,direccion_fiscal,TEXT,"",""
bloques,id,SERIAL,"PRIMARY KEY",""
bloques,direccion,TEXT,"",""
bloques,estado,TEXT,"",""
bloques,api,TEXT,"",""
bloques,empresa_id,INTEGER,"","empresas(id)"
pisos,id,SERIAL,"PRIMARY KEY",""
pisos,direccion,TEXT,"NOT NULL",""
pisos,municipio,TEXT,"",""
pisos,cp,INTEGER,"NOT NULL",""
pisos,api,TEXT,"",""
pisos,prop_vertical,BOOLEAN,"NOT NULL",""
pisos,por_habitaciones,BOOLEAN,"NOT NULL",""
pisos,bloque_id,INTEGER,"","bloques(id)"
usuarios,id,SERIAL,"PRIMARY KEY",""
usuarios,alias,TEXT,"",""
usuarios,nombre,TEXT,"",""
usuarios,apellidos,TEXT,"",""
usuarios,email,TEXT,"",""
usuarios,telefono,TEXT,"",""
usuarios,grupo_por_defecto,TEXT,"",""
usuarios,grupos,TEXT,"",""
usuarios,roles,TEXT,"",""
usuarios,activo,TEXT,"DEFAULT NULL",""
afiliadas,id,SERIAL,"PRIMARY KEY",""
afiliadas,num_afiliada,TEXT,"",""
afiliadas,nombre,TEXT,"",""
afiliadas,apellidos,TEXT,"",""
afiliadas,genero,TEXT,"",""
afiliadas,email,TEXT,"",""
afiliadas,regimen,TEXT,"",""
afiliadas,estado,TEXT,"DEFAULT NULL",""
afiliadas,fecha_alta,DATE,"",""
afiliadas,fecha_baja,DATE,"DEFAULT NULL",""
afiliadas,piso_id,INTEGER,"","pisos(id)"
conflictos,id,SERIAL,"PRIMARY KEY",""
conflictos,estado,TEXT,"DEFAULT NULL",""
conflictos,ambito,TEXT,"",""
conflictos,afectada,TEXT,"",""
conflictos,causa,TEXT,"",""
conflictos,fecha_apertura,DATE,"",""
conflictos,fecha_cierre,DATE,"",""
conflictos,descripcion,TEXT,"",""
conflictos,resolucion,TEXT,"",""
conflictos,afiliada_id,INTEGER,"","afiliadas(id)"
conflictos,usuario_responsable_id,INTEGER,"","usuarios(id)"
diario_conflictos,id,SERIAL,"PRIMARY KEY",""
diario_conflictos,estado,TEXT,"DEFAULT NULL",""
diario_conflictos,ambito,TEXT,"",""
diario_conflictos,afectada,TEXT,"",""
diario_conflictos,causa,TEXT,"",""
diario_conflictos,created_at,TIMESTAMP,"DEFAULT CURRENT_TIMESTAMP",""
diario_conflictos,conflicto_id,INTEGER,"","conflictos(id)"
facturacion,id,SERIAL,"PRIMARY KEY",""
facturacion,cuota,DECIMAL(8,2),"NOT NULL",""
facturacion,periodicidad,SMALLINT,"NOT NULL",""
facturacion,iban,TEXT,"NOT NULL",""
facturacion,afiliada_id,INTEGER,"","afiliadas(id)"
solicitudes,id,SERIAL,"PRIMARY KEY",""
